Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
412,25.0,CartPole-v1,100000.0,0.0001,0.99,5,5
413,38.0,CartPole-v1,100000.0,0.0001,0.99,5,5
414,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
415,11.0,CartPole-v1,100000.0,0.0001,0.99,5,5
416,21.0,CartPole-v1,100000.0,0.0001,0.99,5,5
417,77.0,CartPole-v1,100000.0,0.0001,0.99,5,5
418,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
419,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
420,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
421,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
422,22.0,CartPole-v1,100000.0,0.0001,0.99,5,5
423,16.0,CartPole-v1,100000.0,0.0001,0.99,5,5
424,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
425,21.0,CartPole-v1,100000.0,0.0001,0.99,5,5
426,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
427,29.0,CartPole-v1,100000.0,0.0001,0.99,5,5
